timestamp_ms,session_id,joint_1_angle_deg,joint_2_angle_deg,joint_3_angle_deg,joint_4_angle_deg,joint_1_torque_Nm,joint_2_torque_Nm,joint_3_torque_Nm,joint_4_torque_Nm,end_effector_x_mm,end_effector_y_mm,end_effector_z_mm,velocity_mm_s,acceleration_mm_s2,battery_voltage_V,current_draw_A,cpu_temp_C,imu_roll_deg,imu_pitch_deg,imu_yaw_deg,lidar_front_mm,lidar_rear_mm,ultrasonic_left_mm,ultrasonic_right_mm,force_sensor_N,task_complete,error_code
1200,S001,5.05,2.53,1.85,0.93,0.08,0.06,0.04,0.02,363.5,18.4,171.9,89.2,12.1,24.27,1.19,42.5,0.05,-0.05,90.31,2029,1779,427,454,0.03,0,0
1250,S001,3.09,1.55,1.14,0.57,0.16,0.11,0.08,0.04,361.8,11.2,169.5,80.5,18.9,24.26,1.22,42.4,0.04,-0.04,90.31,2028,1778,427,454,0.01,0,0
1300,S001,1.58,0.79,0.58,0.29,0.21,0.15,0.10,0.05,360.8,5.4,167.5,68.4,24.0,24.26,1.28,42.4,0.02,-0.02,90.30,2026,1777,426,455,0.00,0,0
1350,S001,0.54,0.27,0.20,0.10,0.22,0.16,0.11,0.05,360.2,1.4,166.0,53.9,27.1,24.25,1.31,42.3,0.01,-0.01,90.30,2025,1776,426,455,0.00,0,0
1400,S001,0.00,0.00,0.00,0.00,0.20,0.14,0.09,0.05,360.0,0.0,165.0,37.4,27.8,24.25,1.29,42.3,0.00,0.00,90.29,2024,1775,426,456,0.00,1,0
1450,S002,0.00,0.00,0.00,0.00,0.11,0.08,0.05,0.03,360.0,0.0,165.0,0.0,0.0,24.71,1.18,42.1,0.01,-0.01,45.00,1950,2050,520,480,0.00,0,0
1500,S002,3.12,2.21,1.43,0.87,1.52,1.18,0.79,0.41,356.3,9.8,164.3,52.1,138.7,24.68,2.71,42.4,0.04,-0.06,44.96,1948,2048,519,480,0.18,0,0
1550,S002,7.84,5.55,3.59,2.19,3.21,2.49,1.66,0.86,349.8,24.6,163.0,101.8,112.4,24.65,4.35,42.7,0.08,-0.13,44.91,1946,2045,518,481,0.47,0,0
1600,S002,13.65,9.66,6.25,3.81,5.01,3.88,2.59,1.35,341.0,43.1,161.2,141.2,78.3,24.61,6.02,43.1,0.13,-0.20,44.85,1943,2042,517,481,0.85,0,0
1650,S002,20.14,14.26,9.23,5.63,6.72,5.21,3.47,1.81,330.4,64.3,159.0,168.3,41.6,24.57,7.52,43.5,0.18,-0.28,44.79,1940,2039,516,482,1.28,0,0
1700,S002,26.78,18.96,12.27,7.49,8.12,6.29,4.19,2.19,318.7,87.2,156.5,181.4,12.4,24.53,8.71,43.9,0.22,-0.35,44.73,1937,2036,515,482,1.71,0,0
1750,S002,33.01,23.38,15.14,9.24,9.07,7.03,4.68,2.45,306.9,110.1,153.9,179.6,9.8,24.50,9.51,44.3,0.26,-0.41,44.68,1935,2034,514,483,2.08,0,0
1800,S002,38.40,27.19,17.61,10.74,9.51,7.37,4.91,2.57,296.1,131.6,151.3,163.8,25.1,24.47,9.88,44.7,0.29,-0.47,44.63,1932,2031,513,483,2.38,0,0
1850,S002,42.56,30.15,19.53,11.92,9.44,7.32,4.88,2.55,286.7,150.4,149.0,135.4,38.4,24.44,9.81,45.0,0.31,-0.51,44.59,1930,2029,512,484,2.57,0,0
1900,S002,45.27,32.07,20.77,12.68,8.91,6.91,4.60,2.41,279.3,165.8,147.1,97.6,49.2,24.41,9.34,45.3,0.33,-0.54,44.56,1928,2027,511,484,2.65,0,0
1950,S002,46.42,32.89,21.30,13.00,8.02,6.22,4.14,2.17,274.6,177.0,145.8,52.8,57.1,24.39,8.53,45.6,0.33,-0.56,44.54,1926,2025,510,485,2.63,0,0
2000,S002,46.01,32.60,21.12,12.89,6.87,5.33,3.55,1.86,272.8,183.6,145.2,7.4,61.4,24.37,7.47,45.8,0.33,-0.56,44.52,1924,2023,510,485,2.52,0,0
2050,S002,44.18,31.30,20.28,12.38,5.56,4.31,2.87,1.50,274.0,185.5,145.3,36.9,62.1,24.35,6.23,46.0,0.32,-0.55,44.51,1922,2021,509,486,2.34,0,0
2100,S002,41.10,29.13,18.88,11.52,4.19,3.25,2.16,1.13,278.4,183.0,146.2,77.8,59.4,24.33,5.01,46.1,0.30,-0.53,44.50,1921,2020,508,486,2.10,0,0
2150,S002,37.01,26.23,17.01,10.38,2.84,2.20,1.47,0.77,285.7,176.4,147.9,113.2,53.5,24.32,3.85,46.2,0.28,-0.50,44.50,1919,2018,507,487,1.82,0,0
2200,S002,32.19,22.82,14.79,9.03,1.60,1.24,0.83,0.43,295.5,166.1,150.2,141.5,44.9,24.31,2.81,46.3,0.25,-0.46,44.50,1918,2017,507,487,1.52,0,0
2250,S002,26.89,19.06,12.36,7.54,0.53,0.41,0.27,0.14,307.2,152.7,153.1,161.3,33.8,24.30,2.00,46.3,0.22,-0.42,44.51,1917,2016,506,488,1.20,0,0
2300,S002,21.37,15.15,9.82,5.99,0.20,0.16,0.10,0.05,320.1,136.8,156.5,172.2,20.9,24.29,1.43,46.3,0.18,-0.37,44.52,1916,2015,505,488,0.88,0,0
2350,S002,15.86,11.24,7.29,4.45,0.38,0.29,0.19,0.10,333.4,119.0,160.2,174.4,6.9,24.28,1.14,46.2,0.14,-0.31,44.54,1915,2015,505,489,0.58,0,0
2400,S002,10.56,7.49,4.85,2.96,0.78,0.60,0.40,0.21,346.1,100.0,164.0,168.6,7.4,24.28,1.11,46.2,0.10,-0.25,44.56,1914,2014,504,489,0.31,0,0
2450,S002,5.65,4.01,2.60,1.58,1.22,0.95,0.63,0.33,357.5,80.5,167.9,155.2,17.5,24.27,1.31,46.1,0.06,-0.19,44.58,1913,2013,503,490,0.10,0,0
2500,S002,1.30,0.92,0.60,0.37,1.58,1.22,0.81,0.42,367.2,60.9,171.7,135.1,26.3,24.27,1.63,46.0,0.01,-0.12,44.61,1912,2013,503,490,0.01,0,0
2550,S002,0.00,0.00,0.00,0.00,1.72,1.33,0.89,0.46,375.0,42.1,175.3,109.5,32.8,24.26,1.78,45.9,0.00,-0.06,44.64,1912,2012,502,491,0.00,0,0
2600,S002,0.00,0.00,0.00,0.00,1.61,1.25,0.83,0.43,381.0,24.6,178.6,80.2,36.4,24.26,1.67,45.8,0.00,-0.01,44.67,1911,2012,502,491,0.00,0,0
2650,S002,0.00,0.00,0.00,0.00,1.30,1.01,0.67,0.35,385.3,9.2,181.6,49.1,37.2,24.26,1.36,45.7,0.00,0.03,44.70,1911,2011,501,492,0.00,0,0
2700,S002,0.00,0.00,0.00,0.00,0.84,0.65,0.43,0.23,388.0,0.0,184.2,18.8,35.5,24.25,0.90,45.6,0.00,0.07,44.72,1910,2011,501,492,0.00,0,0
2750,S002,0.00,0.00,0.00,0.00,0.31,0.24,0.16,0.08,389.3,0.0,186.5,0.0,30.7,24.25,0.35,45.5,0.00,0.09,44.74,1910,2011,500,493,0.00,1,0
2800,S003,0.00,0.00,0.00,0.00,0.13,0.09,0.06,0.03,389.3,0.0,186.5,0.0,0.0,23.95,1.22,45.3,0.00,0.00,180.00,800,3200,310,680,0.00,0,0
2850,S003,1.84,3.21,2.07,1.44,0.98,1.71,1.10,0.77,387.5,6.4,187.8,38.2,101.4,23.91,2.22,45.6,0.03,0.02,179.95,799,3198,310,679,0.09,0,0
2900,S003,4.63,8.08,5.21,3.63,2.07,3.61,2.33,1.62,384.2,16.1,190.4,74.6,82.1,23.87,3.30,45.9,0.07,0.05,179.89,797,3195,309,679,0.28,0,0
2950,S003,8.07,14.08,9.08,6.32,3.24,5.65,3.64,2.54,379.6,28.8,194.0,107.3,58.1,23.83,4.43,46.3,0.11,0.08,179.83,796,3192,309,678,0.56,0,0
3000,S003,11.89,20.75,13.39,9.32,4.34,7.57,4.88,3.40,374.1,44.0,198.5,135.4,29.6,23.78,5.46,46.7,0.16,0.11,179.77,794,3188,308,678,0.91,0,0
3050,S003,15.80,27.57,17.79,12.38,5.26,9.17,5.91,4.12,368.3,60.9,203.7,157.9,1.8,23.74,6.34,47.1,0.20,0.14,179.71,792,3184,307,677,1.29,0,0
3100,S003,19.55,34.11,22.01,15.32,5.90,10.28,6.63,4.62,362.7,78.7,209.3,174.0,24.8,23.70,7.00,47.5,0.24,0.17,179.66,791,3181,306,677,1.66,0,0
3150,S003,22.95,40.05,25.85,17.99,6.22,10.85,6.99,4.87,357.8,96.7,215.2,183.5,45.4,23.66,7.40,47.8,0.27,0.19,179.61,789,3177,306,676,1.99,0,0
3200,S003,25.83,45.10,29.12,20.27,6.22,10.85,6.99,4.87,353.9,114.2,221.1,185.8,62.2,23.63,7.55,48.1,0.29,0.21,179.57,787,3174,305,676,2.25,0,0
3250,S003,28.10,49.04,31.67,22.04,5.91,10.30,6.64,4.62,351.2,130.7,227.0,180.7,74.4,23.60,7.47,48.4,0.31,0.22,179.54,786,3171,304,675,2.43,0,0
3300,S003,29.67,51.73,33.40,23.24,5.33,9.29,5.99,4.17,349.8,145.6,232.6,168.6,81.7,23.57,6.18,48.6,0.32,0.23,179.51,784,3168,304,675,2.52,0,0
3350,S003,30.49,53.14,34.30,23.88,4.51,7.87,5.07,3.53,349.7,158.5,237.7,150.2,84.0,23.54,5.71,48.8,0.32,0.23,179.49,782,3165,303,674,2.52,0,0
3400,S003,30.54,53.25,34.37,23.93,3.52,6.14,3.96,2.76,350.8,169.0,242.2,126.2,81.4,23.52,4.63,49.0,0.32,0.23,179.48,781,3163,302,674,2.44,0,0
3450,S003,29.83,52.09,33.64,23.42,2.41,4.21,2.71,1.89,353.0,177.0,246.0,97.9,74.1,23.50,3.49,49.1,0.31,0.22,179.48,779,3160,302,673,2.28,0,0
3500,S003,28.44,49.65,32.06,22.32,1.25,2.18,1.41,0.98,356.2,182.3,249.0,66.6,62.5,23.48,2.37,49.2,0.29,0.21,179.49,778,3158,301,673,2.07,0,0
3550,S003,26.44,46.11,29.78,20.74,0.10,0.18,0.11,0.08,360.1,185.0,251.1,34.4,47.0,23.47,1.35,49.2,0.27,0.19,179.50,777,3156,300,672,1.81,0,0
3600,S003,23.94,41.75,26.97,18.78,0.90,1.57,1.01,0.70,364.5,185.1,252.3,5.1,28.8,23.46,1.62,49.2,0.24,0.17,179.52,775,3154,300,672,1.52,0,0
3650,S003,21.07,36.78,23.77,16.56,1.73,3.01,1.94,1.35,369.1,182.7,252.5,31.2,9.3,23.45,2.37,49.1,0.21,0.15,179.55,774,3153,299,671,1.21,0,0
3700,S003,17.96,31.38,20.28,14.13,2.37,4.14,2.67,1.86,373.6,178.0,251.8,60.5,10.0,23.44,3.00,49.0,0.18,0.13,179.58,773,3151,298,671,0.91,0,0
3750,S003,14.73,25.72,16.62,11.57,2.78,4.85,3.13,2.18,378.0,171.3,250.2,85.4,27.0,23.43,3.42,48.9,0.14,0.10,179.62,772,3149,298,670,0.62,0,0
3800,S003,11.50,20.06,12.96,9.02,2.94,5.12,3.30,2.30,382.0,163.0,247.9,104.8,41.1,23.43,3.57,48.8,0.11,0.08,179.66,771,3148,297,670,0.36,0,0
3850,S003,8.37,14.60,9.43,6.57,2.83,4.93,3.18,2.22,385.5,153.5,245.0,118.3,52.1,23.42,3.44,48.7,0.08,0.05,179.71,770,3146,296,669,0.16,0,0
3900,S003,5.44,9.50,6.14,4.27,2.49,4.34,2.80,1.95,388.4,143.1,241.7,125.6,59.6,23.42,3.07,48.5,0.05,0.03,179.76,769,3145,296,669,0.04,0,0
3950,S003,2.82,4.91,3.17,2.21,1.93,3.37,2.17,1.51,390.6,132.1,238.0,126.7,63.3,23.41,2.41,48.4,0.03,0.02,179.81,768,3144,295,668,0.00,0,0
4000,S003,0.58,1.01,0.65,0.45,1.22,2.13,1.37,0.96,392.0,120.8,234.1,121.9,63.2,23.41,1.57,48.2,0.01,0.00,179.87,767,3143,294,668,0.00,0,0
4050,S003,0.00,0.00,0.00,0.00,0.42,0.74,0.47,0.33,392.8,109.3,230.1,111.9,59.5,23.41,0.60,48.0,0.00,0.00,179.93,766,3142,294,667,0.00,0,0
4100,S003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392.8,98.0,226.1,97.6,52.6,23.40,0.12,47.8,0.00,0.00,179.98,765,3141,293,667,0.00,0,0
4150,S003,0.00,0.00,0.00,0.00,0.17,0.29,0.19,0.13,392.8,87.0,222.1,80.3,43.0,23.40,0.29,47.6,0.00,0.00,180.03,765,3141,293,666,0.00,0,0
4200,S003,0.00,0.00,0.00,0.00,0.41,0.71,0.46,0.32,392.8,76.5,218.2,61.2,31.5,23.40,0.54,47.4,0.00,0.00,180.08,764,3140,292,666,0.00,0,0
4250,S003,0.00,0.00,0.00,0.00,0.55,0.96,0.62,0.43,392.8,66.4,214.4,41.4,19.4,23.40,0.70,47.2,0.00,0.00,180.12,763,3139,291,665,0.00,0,0
4300,S003,0.00,0.00,0.00,0.00,0.55,0.96,0.62,0.43,392.8,57.0,210.8,22.1,7.3,23.40,0.71,47.0,0.00,0.00,180.15,763,3139,291,665,0.00,0,0
4350,S003,0.00,0.00,0.00,0.00,0.44,0.76,0.49,0.34,392.8,48.3,207.5,6.5,4.2,23.40,0.57,46.8,0.00,0.00,180.18,762,3138,290,664,0.00,1,0
4400,S004,0.00,0.00,0.00,0.00,0.10,0.07,0.05,0.02,392.8,48.3,207.5,0.0,0.0,24.55,1.15,44.2,0.10,-0.08,270.00,3100,900,580,320,0.00,0,0
4450,S004,1.20,0.95,1.42,0.68,0.83,0.66,0.99,0.47,390.5,41.5,208.9,31.5,83.5,24.52,2.08,44.5,0.12,-0.09,270.05,3097,898,579,320,0.07,0,0
4500,S004,3.02,2.40,3.59,1.72,1.76,1.39,2.09,1.00,386.8,31.3,211.3,61.2,67.5,24.49,3.10,44.8,0.15,-0.11,270.11,3094,896,578,321,0.22,0,0
4550,S004,5.27,4.18,6.27,3.00,2.74,2.17,3.26,1.56,382.2,18.3,214.5,88.0,47.0,24.46,4.16,45.2,0.18,-0.13,270.17,3091,894,577,321,0.46,0,0
4600,S004,7.81,6.20,9.29,4.45,3.68,2.92,4.38,2.10,377.3,3.1,218.3,111.3,23.5,24.43,5.17,45.6,0.20,-0.15,270.23,3087,893,576,322,0.78,0,0
4650,S004,10.50,8.34,12.51,5.99,4.52,3.59,5.38,2.58,372.6,13.5,222.7,130.6,1.3,24.40,6.09,46.0,0.23,-0.17,270.29,3084,891,575,322,1.16,0,0
4700,S004,13.22,10.50,15.75,7.54,5.21,4.13,6.20,2.97,368.6,31.4,227.5,145.4,20.7,24.38,6.89,46.3,0.25,-0.19,270.35,3081,889,574,323,1.57,0,0
4750,S004,15.87,12.60,18.91,9.05,5.71,4.53,6.80,3.26,365.5,50.4,232.4,155.5,38.3,24.35,7.53,46.6,0.27,-0.20,270.41,3078,888,573,323,1.98,0,0
4800,S004,18.37,14.59,21.89,10.48,6.00,4.76,7.15,3.42,363.4,70.0,237.4,160.7,52.8,24.33,7.99,46.9,0.28,-0.21,270.46,3075,886,572,324,2.36,0,0
4850,S004,20.62,16.38,24.57,11.77,6.07,4.82,7.23,3.46,362.4,89.7,242.3,161.0,63.7,24.31,8.26,47.2,0.29,-0.22,270.51,3073,884,571,324,2.70,0,0
4900,S004,22.56,17.92,26.88,12.87,5.93,4.71,7.06,3.38,362.3,109.1,247.0,156.4,70.7,24.29,8.35,47.4,0.30,-0.22,270.55,3070,883,570,325,2.97,0,0
4950,S004,24.12,19.16,28.74,13.76,5.59,4.44,6.66,3.19,363.2,127.6,251.4,147.1,73.7,24.27,8.26,47.6,0.30,-0.23,270.59,3067,881,569,325,3.16,0,0
5000,S004,25.27,20.07,30.11,14.42,5.09,4.04,6.06,2.90,364.9,144.9,255.4,133.5,72.7,24.26,7.99,47.7,0.30,-0.23,270.62,3065,880,568,326,3.27,0,0
5050,S004,26.00,20.66,30.99,14.84,4.45,3.53,5.30,2.54,367.3,160.5,259.0,116.2,68.0,24.24,7.56,47.8,0.30,-0.23,270.65,3063,879,568,326,3.30,0,0
5100,S004,26.30,20.90,31.35,15.02,3.71,2.94,4.42,2.11,370.3,174.0,262.1,96.4,59.9,24.23,6.99,47.9,0.30,-0.22,270.67,3061,877,567,327,3.25,0,0
5150,S004,26.20,20.81,31.22,14.95,2.91,2.31,3.46,1.66,373.7,185.0,264.7,74.9,49.0,24.22,6.30,47.9,0.29,-0.22,270.68,3059,876,566,327,3.13,0,0
5200,S004,25.71,20.42,30.63,14.67,2.09,1.66,2.49,1.19,377.5,193.4,266.7,52.7,36.0,24.21,5.51,47.9,0.28,-0.21,270.69,3057,875,565,328,2.94,0,0
5250,S004,24.87,19.76,29.64,14.19,1.29,1.02,1.54,0.74,381.3,199.1,268.2,30.8,22.0,24.20,4.66,47.8,0.27,-0.20,270.70,3056,874,564,328,2.70,0,0
5300,S004,23.73,18.85,28.27,13.53,0.57,0.45,0.68,0.32,384.9,202.3,269.1,10.3,7.8,24.19,3.79,47.7,0.26,-0.19,270.70,3054,873,563,329,2.42,0,0
5350,S004,22.33,17.74,26.60,12.74,0.09,0.07,0.11,0.05,388.3,203.0,269.5,9.4,6.6,24.19,3.00,47.6,0.24,-0.18,270.70,3053,872,562,329,2.11,0,0
5400,S004,20.73,16.47,24.70,11.83,0.48,0.38,0.57,0.27,391.3,201.4,269.4,27.7,19.8,24.18,2.33,47.5,0.22,-0.16,270.70,3051,871,561,330,1.78,0,0
5450,S004,18.97,15.07,22.61,10.83,0.94,0.74,1.12,0.53,393.8,197.7,268.8,44.0,31.5,24.18,2.14,47.3,0.20,-0.15,270.69,3050,870,560,330,1.44,0,0
5500,S004,17.10,13.59,20.38,9.76,1.38,1.10,1.65,0.79,395.7,192.2,268.0,57.5,40.8,24.17,2.28,47.2,0.18,-0.13,270.68,3048,870,559,331,1.10,0,0
5550,S004,15.17,12.05,18.08,8.66,1.76,1.40,2.10,1.00,397.1,185.2,267.0,68.0,47.5,24.17,2.57,47.0,0.15,-0.11,270.67,3047,869,558,331,0.77,0,0
5600,S004,13.22,10.50,15.75,7.54,2.05,1.63,2.44,1.17,398.0,177.0,265.9,75.3,51.4,24.16,2.82,46.8,0.13,-0.09,270.66,3046,868,557,332,0.48,0,0
5650,S004,11.28,8.96,13.44,6.44,2.23,1.77,2.65,1.27,398.4,167.9,264.7,79.2,52.4,24.16,2.98,46.6,0.10,-0.08,270.65,3044,867,557,332,0.23,0,0
5700,S004,9.40,7.47,11.20,5.37,2.29,1.82,2.73,1.31,398.4,158.1,263.5,79.6,50.6,24.16,3.00,46.4,0.08,-0.06,270.64,3043,867,556,333,0.06,0,0
5750,S004,7.61,6.04,9.06,4.34,2.23,1.77,2.65,1.27,398.0,148.0,262.3,76.7,46.3,24.15,2.90,46.2,0.06,-0.04,270.63,3042,866,555,333,0.01,0,0
5800,S004,5.93,4.71,7.06,3.38,2.06,1.63,2.45,1.17,397.4,137.9,261.1,71.0,39.7,24.15,2.69,46.0,0.04,-0.03,270.62,3041,865,554,334,0.00,0,0
5850,S004,4.40,3.49,5.24,2.51,1.80,1.43,2.15,1.03,396.5,128.1,260.1,62.8,31.1,24.15,2.38,45.8,0.03,-0.02,270.61,3040,865,553,334,0.00,0,0
5900,S004,3.03,2.40,3.60,1.73,1.48,1.17,1.76,0.84,395.5,118.7,259.1,52.5,21.2,24.14,1.99,45.6,0.02,-0.01,270.60,3039,864,553,335,0.00,0,0
5950,S004,1.83,1.45,2.18,1.04,1.11,0.88,1.32,0.63,394.5,109.8,258.2,40.8,11.1,24.14,1.54,45.4,0.01,-0.01,270.59,3038,864,552,335,0.00,0,0
6000,S004,0.81,0.64,0.96,0.46,0.72,0.57,0.86,0.41,393.5,101.6,257.5,28.4,1.5,24.14,1.05,45.3,0.00,0.00,270.58,3037,863,551,336,0.00,0,0
6050,S004,0.00,0.00,0.00,0.00,0.35,0.28,0.42,0.20,392.8,94.1,256.9,16.3,8.0,24.14,0.54,45.1,0.00,0.00,270.58,3037,863,550,336,0.00,0,0
6100,S004,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.02,392.8,87.5,256.4,6.6,14.2,24.13,0.10,44.9,0.00,0.00,270.57,3036,862,549,337,0.00,1,0
6150,S005,0.00,0.00,0.00,0.00,0.12,0.09,0.06,0.03,392.8,87.5,256.4,0.0,0.0,22.41,1.19,44.7,0.15,-0.22,135.00,1400,2600,390,560,0.00,0,2
6200,S005,1.52,2.18,1.31,1.09,1.01,1.45,0.87,0.73,394.8,79.3,256.9,41.0,108.7,22.36,2.34,45.0,0.17,-0.25,135.06,1399,2598,390,559,0.13,0,2
6250,S005,3.83,5.49,3.29,2.74,2.14,3.06,1.84,1.53,398.5,68.5,258.1,79.7,87.9,22.31,3.60,45.4,0.19,-0.28,135.13,1397,2595,389,559,0.41,0,2
6300,S005,6.67,9.55,5.73,4.77,3.30,4.72,2.83,2.36,403.8,55.5,260.3,114.7,62.5,22.26,4.88,45.8,0.21,-0.31,135.21,1395,2592,388,558,0.80,0,2
6350,S005,9.88,14.14,8.48,7.07,4.40,6.30,3.78,3.15,410.3,40.7,263.4,144.8,33.3,22.22,6.07,46.3,0.24,-0.35,135.29,1393,2589,387,558,1.27,0,2
6400,S005,13.31,19.04,11.43,9.52,5.37,7.68,4.61,3.84,418.0,24.6,267.3,169.3,2.4,22.17,7.14,46.7,0.26,-0.38,135.37,1391,2585,386,557,1.80,0,2
6450,S005,16.77,24.00,14.40,12.00,6.14,8.79,5.27,4.40,426.5,7.5,272.1,187.5,30.5,22.13,7.99,47.1,0.28,-0.40,135.44,1390,2582,385,557,2.33,0,2
6500,S005,20.13,28.81,17.29,14.41,6.67,9.54,5.73,4.77,435.7,10.0,277.5,199.4,55.2,22.09,8.59,47.5,0.29,-0.43,135.51,1388,2579,384,556,2.84,0,2
6550,S005,23.25,33.27,19.97,16.63,6.93,9.92,5.95,4.96,445.2,28.5,283.5,204.4,75.6,22.05,8.91,47.8,0.31,-0.45,135.58,1386,2576,383,556,3.28,0,2
6600,S005,26.02,37.24,22.34,18.62,6.91,9.89,5.93,4.95,454.7,47.5,289.9,202.7,91.0,22.02,8.94,48.1,0.32,-0.46,135.64,1384,2573,382,555,3.63,0,2
6650,S005,28.35,40.57,24.34,20.29,6.62,9.47,5.68,4.73,464.1,66.6,296.7,194.6,101.1,21.99,8.69,48.4,0.32,-0.47,135.69,1382,2570,381,555,3.88,0,2
